category_label,livestock,value
Worldwide, Human, 7466960000
Worldwide, Pig, 1478167073
Worldwide, Cattle, 328209569
Worldwide, Chicken, 70291019000
Worldwide, Goats & Sheep, 1011281651
Worldwide, Other, 1063195693
